0	0.073789	0.000000	0.073789	
1	0.303126	0.000000	0.303126	
2	0.299343	0.000000	0.299343	
3	0.585695	0.000000	0.585695	
4	1.186581	0.000000	1.186581	
0	0.334745	0.000000	0.334745	
1	0.390995	0.000000	0.390995	
2	0.442599	0.000000	0.442599	
3	0.643919	0.000000	0.643919	
4	0.948023	0.000000	0.948023	
0	1.844768	0.000000	1.844768	
1	3.027061	0.000000	3.027061	
2	3.130728	0.000000	3.130728	
3	3.047046	0.000000	3.047046	
4	2.766252	0.000000	2.766252	
0	0.063940	0.000000	0.063940	
1	0.057289	0.000000	0.057289	
2	0.060482	0.000000	0.060482	
3	0.080086	0.000000	0.080086	
4	0.173837	0.000000	0.173837	
0	0.330839	0.000000	0.330839	
1	0.388322	0.000000	0.388322	
2	0.442749	0.000000	0.442749	
3	0.629054	0.000000	0.629054	
4	0.960909	0.000000	0.960909	
0	1.847624	0.000000	1.847624	
1	3.039479	0.000000	3.039479	
2	3.131697	0.000000	3.131697	
3	3.069959	0.000000	3.069959	
4	2.762334	0.000000	2.762334	
0	0.062412	0.000000	0.062412	
1	0.057293	0.000000	0.057293	
2	0.060487	0.000000	0.060487	
3	0.080114	0.000000	0.080114	
4	0.174171	0.000000	0.174171	
