0	0.072102	0.000012	0.072101	0.072095	0.072115	0.072125	0.072118	0.072102	0.072100	0.072084	0.072088	0.072096	
1	0.077449	0.000006	0.077441	0.077451	0.077441	0.077463	0.077448	0.077451	0.077443	0.077451	0.077450	0.077447	
2	0.083566	0.000018	0.083577	0.083544	0.083564	0.083597	0.083545	0.083589	0.083553	0.083550	0.083564	0.083580	
3	0.181601	0.000018	0.181590	0.181604	0.181575	0.181604	0.181605	0.181570	0.181605	0.181599	0.181631	0.181623	
4	0.385944	0.000040	0.385947	0.385936	0.385909	0.385924	0.385950	0.385901	0.386015	0.385926	0.385907	0.386019	
0	0.160118	0.001470	0.163380	0.159243	0.161087	0.158089	0.159341	0.158782	0.160566	0.158974	0.161126	0.160595	
1	0.445719	0.002190	0.445650	0.442171	0.446484	0.448296	0.443932	0.442151	0.447611	0.445378	0.447429	0.448084	
2	0.403725	0.002396	0.406860	0.402728	0.398605	0.402683	0.406246	0.403530	0.406461	0.404085	0.404489	0.401560	
3	0.399273	0.001137	0.400790	0.398557	0.398274	0.399519	0.401108	0.398457	0.400804	0.398857	0.398427	0.397932	
4	0.364071	0.001776	0.364373	0.366305	0.365331	0.362071	0.360396	0.364502	0.362860	0.363647	0.364993	0.366233	
0	0.177431	0.005796	0.174598	0.187171	0.171942	0.174895	0.175672	0.190330	0.175210	0.175838	0.173921	0.174738	
1	0.320942	0.002234	0.320044	0.320199	0.325310	0.319579	0.320077	0.319704	0.319791	0.325471	0.319658	0.319585	
2	0.166571	0.002168	0.169909	0.166759	0.165227	0.163682	0.168425	0.165396	0.164552	0.165030	0.170361	0.166370	
3	0.165317	0.002201	0.166288	0.162640	0.162430	0.164815	0.163080	0.166785	0.168275	0.164086	0.165689	0.169081	
4	0.164048	0.001758	0.165101	0.164115	0.162711	0.164941	0.164675	0.164565	0.161429	0.166269	0.160717	0.165958	
0	0.157636	0.014129	0.149869	0.171228	0.162856	0.160087	0.140571	0.173114	0.171387	0.160087	0.160855	0.126303	
1	0.080738	0.005502	0.083650	0.083177	0.083064	0.084577	0.083662	0.065262	0.084112	0.081414	0.080596	0.077869	
2	0.042384	0.001506	0.039649	0.039769	0.043282	0.043050	0.043198	0.041620	0.042918	0.042359	0.043560	0.044432	
3	0.059613	0.001053	0.058303	0.060397	0.058798	0.060496	0.059475	0.060393	0.058511	0.061210	0.058114	0.060433	
4	0.177543	0.000314	0.177911	0.177584	0.177795	0.177078	0.177250	0.177054	0.177761	0.177554	0.177465	0.177976	
